Age,Value 
0,0.017360137036296
1,0.018736730739468
2,0.018200148712057
3,0.017478646257357
4,0.016968676256255
5,0.016601225104087
6,0.016372063903395
7,0.016232260056675
8,0.01566553775123
9,0.015343803733116
10,0.015225156885214
11,0.0145392747591
12,0.013977582089093
13,0.0138127176459
14,0.0136156610336
15,0.0134982278042
16,0.013482012860102
17,0.013719894597859
18,0.013849876892791
19,0.01375039771029
20,0.014278146596857
21,0.014893313550101
22,0.01595699386447
23,0.016898436521559
24,0.017957812869286
25,0.019724466061034
26,0.02021439258957
27,0.020931516008441
28,0.020890065306438
29,0.02084828930463
30,0.022787614134877
31,0.022163513948543
32,0.022333608211668
33,0.020672214529716
34,0.019653638284384
35,0.020304850958265
36,0.018631871598662
37,0.017477557754165
38,0.016343750308879
39,0.015293094498217
40,0.01524040844143
41,0.014172536764195
42,0.013642961194111
43,0.013321602521924
44,0.012664959843616
45,0.013735796753683
46,0.012443693418947
47,0.012173219143093
48,0.011662398357887
49,0.010454660276277
50,0.010956197505526
51,0.009675917567528
52,0.009707108814161
53,0.009578152464765
54,0.009202531282894
55,0.009445305029248
56,0.008607057479349
57,0.008386529235006
58,0.008129867689309
59,0.007352288552938
60,0.007344856703559
61,0.006796551371658
62,0.006186701819064
63,0.00594366533056
64,0.00553970553111
65,0.005446344487238
66,0.004326437352825
67,0.004297047766648
68,0.003773327593043
69,0.003569877588432
70,0.003588782511682
71,0.003131648705738
72,0.003051725046096
73,0.002588948539698
74,0.002372786819653
75,0.002544732789357
76,0.002256054235985
77,0.002125408829913
78,0.002105765726338
79,0.002058159351112
80,0.002195510937768
81,0.001658891375764
82,0.001556009056847
83,0.001434659718263
84,0.001246548850584
85,0.001230946971503
86,0.000839361076152
87,0.000697355199986
88,0.000623299448354
89,0.000518690538167
90,0.000494105379871
91,0.000358255176927
92,0.0002439248072
93,0.00018014102247
94,0.000119547678129
95,0.000117708483081
96,4.93079434333668E-05
97,3.13664080658337E-05
98,2.07941644217852E-05
99,1.4500864359115E-05
100 ,8.21757352119647E-05
